,Artist,Song_Count,First_Year,Last_Year,Career_Span
414,chris brown featuring lil wayne and french montana too short or tyga,1,2014,2014,1
415,chris brown featuring tpain,2,2007,2008,2
416,chris brown featuring tyga and kevin mccall,1,2010,2010,1
417,chris brown featuring usher and rick ross,1,2014,2014,1
418,chris de burgh,1,1987,1987,1
419,chris isaak,1,1991,1991,1
420,chris montez,1,1966,1966,1
421,chris rea,1,1978,1978,1
422,christie,1,1970,1970,1
423,christina aguilera,7,1999,2006,8
424,christina aguilera featuring lil kim,1,2003,2003,1
425,christina aguilera lil kim m'ya and pink,1,2001,2001,1
426,christina milian,1,2004,2004,1
427,christina perri,2,2011,2012,2
428,christine mcvie,1,1984,1984,1
429,christopher cross,6,1980,1984,5
430,chuck berry,1,1972,1972,1
431,chuck mangione,1,1978,1978,1
432,chumbawamba,2,1997,1998,2
433,ciara,3,2007,2013,7
434,ciara and missy elliott,1,2005,2005,1
435,ciara featuring chamillionaire,1,2006,2006,1
436,ciara featuring ludacris,1,2005,2005,1
437,ciara featuring petey pablo,1,2004,2004,1
438,citizen king,1,1999,1999,1
439,city high,1,2001,2001,1
440,city high featuring eve,1,2002,2002,1
441,cj  company,1,1977,1977,1
442,clarence carter,2,1968,1970,3
443,classics iv,2,1968,1969,2
444,clay aiken,1,2003,2003,1
445,clean bandit featuring jess glynne,1,2014,2014,1
446,cliff nobles,1,1968,1968,1
447,cliff richard,3,1976,1981,6
448,climax,1,1972,1972,1
449,climax blues band,2,1977,1981,5
450,clint holmes,1,1973,1973,1
451,club nouveau,1,1987,1987,1
452,cobra starship featuring leighton meester,1,2009,2009,1
453,cobra starship featuring sabi,1,2011,2011,1
454,colbie caillat,4,2007,2009,3
455,colby odonis featuring akon,1,2008,2008,1
456,coldplay,6,2003,2014,12
457,collective soul,3,1994,1996,3
458,color me badd,6,1991,1996,6
459,commander cody and his lost planet airmen,1,1972,1972,1
460,commodores,8,1976,1985,10
461,coolio,2,1994,1996,3
462,coolio featuring 40 thevz,1,1997,1997,1
463,coolio featuring lv,2,1995,1996,2
464,corey hart,2,1984,1985,2
465,corina,1,1991,1991,1
466,cornelius brothers  sister rose,2,1971,1972,2
467,corona,1,1995,1995,1
468,count five,1,1966,1966,1
469,craig david,2,2001,2002,2
470,craig mack,1,1994,1994,1
471,crash test dummies,1,1994,1994,1
472,crazy elephant,1,1969,1969,1
473,crazy town,1,2001,2001,1
474,cream,2,1968,1968,1
475,creed,6,1999,2002,4
476,creedence clearwater revival,7,1968,1970,3
477,crime mob and lil scrappy,1,2007,2007,1
478,crispian st peters,1,1966,1966,1
479,crosby stills  nash,2,1977,1982,6
480,crosby stills nash  young,1,1970,1970,1
481,crowded house,2,1987,1987,1
482,crucial conflict,1,1996,1996,1
483,crystal gayle,1,1978,1978,1
484,crystal waters,2,1994,1995,2
485,culture beat,1,1994,1994,1
486,culture club,6,1983,1984,2
487,curtis mayfield,2,1972,1973,2
488,cutting crew,2,1987,1987,1
489,cyndi lauper,6,1984,1987,4
490,cypress hill,1,1993,1993,1
491,d mob featuring cathy dennis,1,1990,1990,1
492,d12,1,2004,2004,1
493,d4l,1,2006,2006,1
494,da brat,2,1994,1995,2
495,da brat featuring tyrese,1,2000,2000,1
496,daddy dewdrop,1,1971,1971,1
497,daddy yankee,1,2006,2006,1
498,daft punk featuring pharrell williams,1,2013,2013,1
499,damn yankees,1,1991,1991,1
500,dan fogelberg,3,1980,1982,3
501,dan hartman,1,1984,1984,1
502,dan hill,1,1978,1978,1
503,dan hill featuring vonda shepard,1,1987,1987,1
504,dangelo,2,1995,1996,2
505,daniel bedingfield,2,2002,2003,2
506,daniel boone,1,1972,1972,1
507,daniel powter,1,2006,2006,1
508,danity kane,1,2008,2008,1
509,danity kane featuring yung joc,1,2006,2006,1
510,darius rucker,1,2013,2013,1
511,darryl worley,1,2003,2003,1
512,daryl hall,1,1986,1986,1
513,daryl hall  john oates,11,1982,1988,7
514,das efx,1,1992,1992,1
515,daughtry,5,2007,2010,4
516,dave edmunds,1,1971,1971,1
517,dave loggins,1,1974,1974,1
